full_name,jersey_number,id,first_name,last_name,position,primary_position,played,active,starter,sr_id,team,opp,year,home_pts,away_pts,W/L,statistics.minutes,statistics.field_goals_made,statistics.field_goals_att,statistics.field_goals_pct,statistics.three_points_made,statistics.three_points_att,statistics.three_points_pct,statistics.two_points_made,statistics.two_points_att,statistics.two_points_pct,statistics.blocked_att,statistics.free_throws_made,statistics.free_throws_att,statistics.free_throws_pct,statistics.offensive_rebounds,statistics.defensive_rebounds,statistics.rebounds,statistics.assists,statistics.turnovers,statistics.steals,statistics.blocks,statistics.assists_turnover_ratio,statistics.personal_fouls,statistics.tech_fouls,statistics.flagrant_fouls,statistics.pls_min,statistics.points,injuries,statistics.double_double,statistics.triple_double,statistics.effective_fg_pct,statistics.efficiency,statistics.efficiency_game_score,statistics.fouls_drawn,statistics.offensive_fouls,statistics.points_in_paint,statistics.points_in_paint_att,statistics.points_in_paint_made,statistics.points_in_paint_pct,statistics.points_off_turnovers,statistics.true_shooting_att,statistics.true_shooting_pct,statistics.coach_ejections,statistics.coach_tech_fouls,statistics.second_chance_pts,statistics.second_chance_pct,fouled_out,on_court,reference,statistics.tech_fouls_non_unsportsmanlike,statistics.fast_break_pts,statistics.fast_break_att,statistics.fast_break_made,statistics.fast_break_pct,statistics.defensive_rating,statistics.offensive_rating,statistics.minus,statistics.plus,statistics.defensive_rebounds_pct,statistics.offensive_rebounds_pct,statistics.rebounds_pct,statistics.steals_pct,statistics.turnovers_pct,statistics.second_chance_att,statistics.second_chance_made
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Timberwolves,2015-02-01T01:00:00+00:00,90,106,L,39:45,14,25,56.0,3,8,37.5,11,17,0.647,0,5,8,62.5,3,3,6,5,2,0,1,2.5,1,0,0,25.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Pacers,2015-02-07T00:00:00+00:00,103,99,W,38:34,10,21,47.6,0,4,0.0,10,17,0.588,0,5,8,62.5,0,6,6,5,7,2,1,0.71,3,0,0,-3.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Bulls,2015-02-13T01:00:00+00:00,113,98,W,34:14,12,26,46.2,2,9,22.2,10,17,0.588,0,5,6,83.3,0,5,5,4,8,0,0,0.5,3,0,0,-27.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Wizards,2015-02-21T01:00:00+00:00,89,127,L,25:07,12,21,57.1,3,5,60.0,9,16,0.563,1,1,3,33.3,0,5,5,6,2,1,0,3.0,3,0,0,30.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Knicks,2015-02-22T18:00:00+00:00,83,101,L,27:55,7,17,41.2,1,6,16.7,6,11,0.545,1,3,5,60.0,0,7,7,7,4,2,0,1.75,2,0,0,14.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Pistons,2015-02-25T00:30:00+00:00,93,102,L,39:03,6,14,42.9,1,5,20.0,5,9,0.556,2,6,10,60.0,0,7,7,11,9,3,1,1.22,3,0,0,27.0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,,True,,sr:player:608028,Cavaliers,Pacers,2015-02-28T00:00:00+00:00,93,86,W,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Rockets,2015-03-01T20:30:00+00:00,105,103,W,42:06,15,35,42.9,4,12,33.3,11,23,0.478,3,3,11,27.3,2,6,8,4,4,3,3,1.0,4,1,0,-8.0,37,"[{'id': 'e635a64a-2d55-43e2-9c49-9f8d57988eca', 'comment': ""James did not play in Friday's game (2/27)."", 'desc': 'Back', 'status': 'Day To Day', 'start_date': '2015-02-27', 'update_date': '2015-02-28'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Raptors,2015-03-05T00:30:00+00:00,112,120,L,37:27,9,16,56.3,3,6,50.0,6,10,0.6,1,8,13,61.5,1,5,6,14,3,0,0,4.67,2,0,0,6.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Hawks,2015-03-07T00:30:00+00:00,106,97,W,40:09,5,13,38.5,1,4,25.0,4,9,0.444,1,7,8,87.5,1,5,6,8,9,2,1,0.89,3,1,0,-4.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeBron James,23,0afbe608-940a-4d5d-a1f7-468718c67d91,LeBron,James,F,SF,True,True,True,sr:player:608028,Cavaliers,Mavericks,2015-03-11T00:30:00+00:00,94,127,L,28:58,10,14,71.4,4,6,66.7,6,8,0.75,0,3,5,60.0,0,7,7,8,2,1,1,4.0,3,0,0,27.0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
