year,game_id,game_date,home_team,away_team,home_name,away_name,home_pts,away_pts
2014,24e31de1-3b97-4324-a786-917bbd0e8b8d,2014-11-10T00:00:00Z,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City Thunder,Sacramento Kings,101,93
2014,e8cd68df-7e5a-4fea-beff-e6633b488b51,2014-11-10T00:00:00Z,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,583ec87d-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,Philadelphia 76ers,120,88
2014,56b4308d-8066-4446-bd0d-d4725a370965,2014-11-10T00:30:00Z,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,Dallas Mavericks,Miami Heat,96,105
2014,27254a57-0219-48f5-a8c6-ac13a422eb25,2014-11-10T01:00:00Z,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns,Golden State Warriors,107,95
2014,85faac2d-8f60-4fb9-bf05-edbfca5f2cea,2014-11-10T02:00:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Denver Nuggets,116,100
2014,c31c6182-fda1-44c3-b676-b8f41fccb1b1,2014-11-10T02:30:00Z,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Lakers,Charlotte Hornets,107,92
2014,7a28f056-9ef4-4db3-95bb-ff9e501198c3,2014-11-11T00:00:00Z,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Indiana Pacers,Utah Jazz,97,86
2014,e5f6803d-87e7-4ccb-a5e2-f9dd0b1cd683,2014-11-11T00:00:00Z,583ec773-fb46-11e1-82cb-f4ce4684ea4c,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,Cleveland Cavaliers,New Orleans Pelicans,118,111
2014,14ee68b6-a8c0-48e1-a2f1-db50fc09c004,2014-11-11T00:30:00Z,583ec70e-fb46-11e1-82cb-f4ce4684ea4c,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,New York Knicks,Atlanta Hawks,85,91
2014,844c6b5d-b2f5-419e-9585-0573fac52c92,2014-11-11T01:00:00Z,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,583ec928-fb46-11e1-82cb-f4ce4684ea4c,Chicago Bulls,Detroit Pistons,102,91
2014,4b101dbc-a9ac-4612-8fff-be8e20b21344,2014-11-11T03:30:00Z,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,Los Angeles Clippers,San Antonio Spurs,85,89
2014,f186ad7e-d5ee-457c-8f77-6bb9f366b2d6,2014-11-12T00:30:00Z,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,583ed157-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,Orlando Magic,104,100
2014,96c27475-3942-4dce-b1d8-7b7501f1c333,2014-11-12T01:00:00Z,583ecefd-fb46-11e1-82cb-f4ce4684ea4c,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Milwaukee Bucks,Oklahoma City Thunder,85,78
2014,b6f1db97-db4e-4d80-85a4-5d1192539bbd,2014-11-12T01:00:00Z,583eca88-fb46-11e1-82cb-f4ce4684ea4c,583ecae2-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies,Los Angeles Lakers,107,102
2014,76bd6a1c-1e09-4a3c-a9c2-1034c400f0c3,2014-11-12T01:30:00Z,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Dallas Mavericks,Sacramento Kings,106,98
2014,1ce4917c-324e-4bcd-9afd-080cb100446e,2014-11-12T03:00:00Z,583ed056-fb46-11e1-82cb-f4ce4684ea4c,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,Charlotte Hornets,102,100
2014,817ca5fb-73e0-49ac-a4a6-98b168eb776a,2014-11-12T03:30:00Z,583ec825-fb46-11e1-82cb-f4ce4684ea4c,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,Golden State Warriors,San Antonio Spurs,100,113
2014,9b31b3d8-ede4-4c9a-a41c-d10d168e1ed6,2014-11-13T00:00:00Z,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,583ec928-fb46-11e1-82cb-f4ce4684ea4c,Washington Wizards,Detroit Pistons,107,103
